name, latitude,longitude
Lane_2,29.6419149,-82.3222873
Lane_2,29.6419174,-82.3222907
Lane_2,29.6419196,-82.3222934
Lane_2,29.6419221,-82.3222966
Lane_2,29.6419241,-82.3222994
Lane_2,29.6419265,-82.3223024
Lane_2,29.6419285,-82.3223051
Lane_2,29.6419305,-82.3223078
Lane_2,29.6419329,-82.3223106
Lane_2,29.6419347,-82.3223132
Lane_2,29.6419371,-82.322316
Lane_2,29.6419391,-82.3223189
Lane_2,29.6419406,-82.3223207
Lane_2,29.6419426,-82.3223234
Lane_2,29.6419443,-82.3223256
Lane_2,29.6419463,-82.3223281
Lane_2,29.641948,-82.3223304
Lane_2,29.6419496,-82.3223324
Lane_2,29.641951,-82.3223344
Lane_2,29.6419525,-82.3223361
Lane_2,29.641954,-82.3223383
Lane_2,29.6419555,-82.3223403
Lane_2,29.6419567,-82.3223418
Lane_2,29.641958,-82.3223435
Lane_2,29.6419588,-82.3223447
Lane_2,29.6419602,-82.3223463
Lane_2,29.6419612,-82.3223479
Lane_2,29.6419622,-82.322349
Lane_2,29.6419632,-82.3223504
Lane_2,29.641964,-82.3223515
Lane_2,29.6419647,-82.3223524
Lane_2,29.6419656,-82.3223534
Lane_2,29.6419662,-82.3223544
Lane_2,29.6419667,-82.3223551
Lane_2,29.6419674,-82.3223559
Lane_2,29.6419679,-82.3223566
Lane_2,29.6419682,-82.3223571
Lane_2,29.6419686,-82.3223574
Lane_2,29.6419689,-82.3223579
Lane_2,29.6419691,-82.3223582
Lane_2,29.6419692,-82.3223584
Lane_2,29.6419694,-82.3223586
Lane_2,29.6419694,-82.3223587
Lane_2,29.6419696,-82.3223589
Lane_2,29.6419697,-82.3223589
Lane_3,29.6417057,  -82.3220221
Lane_3,29.6417022,  -82.3220176
Lane_3,29.6416992,  -82.3220138
Lane_3,29.6416957,  -82.3220094
Lane_3,29.6416920,  -82.3220049
Lane_3,29.6416895,  -82.3220017
Lane_3,29.6416859,  -82.3219972
Lane_3,29.6416827,  -82.3219933
Lane_3,29.6416792,  -82.3219888
Lane_3,29.6416757,  -82.3219844
Lane_3,29.6416727,  -82.3219806
Lane_3,29.6416695,  -82.3219767
Lane_3,29.6416660,  -82.3219723
Lane_3,29.6416630,  -82.3219685
Lane_3,29.6416594,  -82.3219641
Lane_3,29.6416564,  -82.3219603
Lane_3,29.6416529,  -82.3219557
Lane_3,29.6416499,  -82.3219519
Lane_3,29.6416469,  -82.3219482
Lane_3,29.6416434,  -82.3219437
Lane_3,29.6416398,  -82.3219393
Lane_3,29.6416368,  -82.3219355
Lane_3,29.6416335,  -82.3219311
Lane_3,29.6416309,  -82.3219279
Lane_3,29.6416274,  -82.3219236
Lane_3,29.6416241,  -82.3219192
Lane_3,29.6416211,  -82.3219155
Lane_3,29.6416177,  -82.3219112
Lane_3,29.6416147,  -82.3219075
Lane_3,29.6416113,  -82.3219031
Lane_3,29.6416083,  -82.3218994
Lane_3,29.6416055,  -82.3218957
Lane_3,29.6416021,  -82.3218915
Lane_3,29.6415991,  -82.3218879
Lane_3,29.6415957,  -82.3218837
Lane_3,29.6415924,  -82.3218793
Lane_3,29.6415900,  -82.3218763
Lane_3,29.6415867,  -82.3218723
Lane_3,29.6415833,  -82.3218681
Lane_3,29.6415805,  -82.3218644
Lane_3,29.6415773,  -82.3218602
Lane_3,29.6415745,  -82.3218567
Lane_3,29.6415716,  -82.3218532
Lane_3,29.6415683,  -82.3218490
Lane_3,29.6415656,  -82.3218454
Lane_3,29.6415624,  -82.3218414
Lane_3,29.6415597,  -82.3218381
Lane_3,29.6415565,  -82.3218342
Lane_3,29.6415540,  -82.3218310
Lane_3,29.6415515,  -82.3218278
Lane_3,29.6415485,  -82.3218242
Lane_3,29.6415460,  -82.3218211
Lane_3,29.6415428,  -82.3218171
Lane_3,29.6415401,  -82.3218138
Lane_3,29.6415382,  -82.3218114
Lane_3,29.6415357,  -82.3218082
Lane_3,29.6415337,  -82.3218057
Lane_3,29.6415312,  -82.3218027
Lane_3,29.6415290,  -82.3217998
Lane_3,29.6415270,  -82.3217975
Lane_3,29.6415252,  -82.3217952
Lane_3,29.6415235,  -82.3217930
Lane_3,29.6415215,  -82.3217905
Lane_3,29.6415196,  -82.3217883
Lane_3,29.6415180,  -82.3217863
Lane_3,29.6415163,  -82.3217841
Lane_3,29.6415148,  -82.3217822
Lane_3,29.6415134,  -82.3217806
Lane_3,29.6415119,  -82.3217787
Lane_3,29.6415108,  -82.3217772
Lane_3,29.6415094,  -82.3217755
Lane_3,29.6415082,  -82.3217742
Lane_3,29.6415074,  -82.3217730
Lane_3,29.6415064,  -82.3217718
Lane_3,29.6415056,  -82.3217707
Lane_3,29.6415045,  -82.3217697
Lane_3,29.6415039,  -82.3217688
Lane_3,29.6415032,  -82.3217680
Lane_3,29.6415027,  -82.3217673
Lane_3,29.6415024,  -82.3217668
Lane_3,29.6415019,  -82.3217663
Lane_3,29.6415015,  -82.3217658
Lane_3,29.6415014,  -82.3217656
Lane_3,29.6415012,  -82.3217655
