Latitude,Longitude
29.6417314,  -82.3221626
29.6417265,  -82.3221676
29.6417223,  -82.3221718
29.6417174,  -82.3221769
29.6417134,  -82.3221811
29.6417086,  -82.3221861
29.6417044,  -82.3221903
29.6417002,  -82.3221946
29.6416955,  -82.3221997
29.6416913,  -82.3222039
29.6416864,  -82.3222090
29.6416816,  -82.3222141
29.6416781,  -82.3222176
29.6416730,  -82.3222226
29.6416688,  -82.3222270
29.6416640,  -82.3222322
29.6416589,  -82.3222372
29.6416548,  -82.3222416
29.6416506,  -82.3222461
29.6416462,  -82.3222505
29.6416412,  -82.3222557
29.6416361,  -82.3222608
29.6416320,  -82.3222652
29.6416269,  -82.3222704
29.6416226,  -82.3222749
29.6416182,  -82.3222795
29.6416132,  -82.3222847
29.6416081,  -82.3222899
29.6416038,  -82.3222944
29.6415988,  -82.3222996
29.6415936,  -82.3223049
29.6415899,  -82.3223086
29.6415848,  -82.3223138
29.6415797,  -82.3223192
29.6415753,  -82.3223237
29.6415701,  -82.3223289
29.6415659,  -82.3223334
29.6415615,  -82.3223380
29.6415563,  -82.3223432
29.6415520,  -82.3223477
29.6415468,  -82.3223531
29.6415416,  -82.3223582
29.6415371,  -82.3223628
29.6415325,  -82.3223673
29.6415282,  -82.3223718
29.6415230,  -82.3223772
29.6415180,  -82.3223824
29.6415136,  -82.3223869
29.6415084,  -82.3223923
29.6415047,  -82.3223960
29.6414995,  -82.3224013
29.6414943,  -82.3224065
29.6414898,  -82.3224112
29.6414846,  -82.3224164
29.6414802,  -82.3224209
29.6414759,  -82.3224255
29.6414709,  -82.3224307
29.6414665,  -82.3224352
29.6414613,  -82.3224406
29.6414569,  -82.3224451
29.6414517,  -82.3224503
29.6414474,  -82.3224548
29.6414422,  -82.3224600
29.6414372,  -82.3224654
29.6414328,  -82.3224697
29.6414278,  -82.3224751
29.6414234,  -82.3224794
29.6414191,  -82.3224840
29.6414140,  -82.3224892
29.6414097,  -82.3224937
29.6414045,  -82.3224987
29.6414003,  -82.3225033
29.6413951,  -82.3225083
29.6413909,  -82.3225128
29.6413865,  -82.3225170
29.6413817,  -82.3225220
29.6413775,  -82.3225264
29.6413726,  -82.3225314
29.6413676,  -82.3225364
29.6413636,  -82.3225406
29.6413594,  -82.3225448
29.6413547,  -82.3225495
29.6413500,  -82.3225542
29.6413461,  -82.3225582
29.6413416,  -82.3225628
29.6413377,  -82.3225666
29.6413339,  -82.3225705
29.6413295,  -82.3225750
29.6413257,  -82.3225787
29.6413213,  -82.3225830
29.6413178,  -82.3225867
29.6413136,  -82.3225909
29.6413101,  -82.3225944
29.6413067,  -82.3225976
29.6413029,  -82.3226017
29.6412997,  -82.3226048
29.6412960,  -82.3226087
29.6412923,  -82.3226124
29.6412896,  -82.3226149
29.6412861,  -82.3226184
29.6412828,  -82.3226218
29.6412799,  -82.3226246
29.6412766,  -82.3226278
29.6412740,  -82.3226305
29.6412714,  -82.3226332
29.6412685,  -82.3226360
29.6412660,  -82.3226385
29.6412631,  -82.3226414
29.6412610,  -82.3226436
29.6412583,  -82.3226461
29.6412563,  -82.3226483
29.6412543,  -82.3226503
29.6412521,  -82.3226523
29.6412502,  -82.3226541
29.6412484,  -82.3226563
29.6412464,  -82.3226582
29.6412450,  -82.3226595
29.6412434,  -82.3226612
29.6412417,  -82.3226628
29.6412402,  -82.3226642
29.6412390,  -82.3226654
29.6412378,  -82.3226665
29.6412370,  -82.3226675
29.6412362,  -82.3226684
29.6412352,  -82.3226694
29.6412345,  -82.3226701
29.6412338,  -82.3226707
29.6412331,  -82.3226714
29.6412326,  -82.3226717
29.6412323,  -82.3226722
29.6412321,  -82.3226724
29.6412318,  -82.3226726
