Latitude, Longitude
29.6417057,  -82.3220221
29.6417022,  -82.3220176
29.6416992,  -82.3220138
29.6416957,  -82.3220094
29.6416920,  -82.3220049
29.6416895,  -82.3220017
29.6416859,  -82.3219972
29.6416827,  -82.3219933
29.6416792,  -82.3219888
29.6416757,  -82.3219844
29.6416727,  -82.3219806
29.6416695,  -82.3219767
29.6416660,  -82.3219723
29.6416630,  -82.3219685
29.6416594,  -82.3219641
29.6416564,  -82.3219603
29.6416529,  -82.3219557
29.6416499,  -82.3219519
29.6416469,  -82.3219482
29.6416434,  -82.3219437
29.6416398,  -82.3219393
29.6416368,  -82.3219355
29.6416335,  -82.3219311
29.6416309,  -82.3219279
29.6416274,  -82.3219236
29.6416241,  -82.3219192
29.6416211,  -82.3219155
29.6416177,  -82.3219112
29.6416147,  -82.3219075
29.6416113,  -82.3219031
29.6416083,  -82.3218994
29.6416055,  -82.3218957
29.6416021,  -82.3218915
29.6415991,  -82.3218879
29.6415957,  -82.3218837
29.6415924,  -82.3218793
29.6415900,  -82.3218763
29.6415867,  -82.3218723
29.6415833,  -82.3218681
29.6415805,  -82.3218644
29.6415773,  -82.3218602
29.6415745,  -82.3218567
29.6415716,  -82.3218532
29.6415683,  -82.3218490
29.6415656,  -82.3218454
29.6415624,  -82.3218414
29.6415597,  -82.3218381
29.6415565,  -82.3218342
29.6415540,  -82.3218310
29.6415515,  -82.3218278
29.6415485,  -82.3218242
29.6415460,  -82.3218211
29.6415428,  -82.3218171
29.6415401,  -82.3218138
29.6415382,  -82.3218114
29.6415357,  -82.3218082
29.6415337,  -82.3218057
29.6415312,  -82.3218027
29.6415290,  -82.3217998
29.6415270,  -82.3217975
29.6415252,  -82.3217952
29.6415235,  -82.3217930
29.6415215,  -82.3217905
29.6415196,  -82.3217883
29.6415180,  -82.3217863
29.6415163,  -82.3217841
29.6415148,  -82.3217822
29.6415134,  -82.3217806
29.6415119,  -82.3217787
29.6415108,  -82.3217772
29.6415094,  -82.3217755
29.6415082,  -82.3217742
29.6415074,  -82.3217730
29.6415064,  -82.3217718
29.6415056,  -82.3217707
29.6415045,  -82.3217697
29.6415039,  -82.3217688
29.6415032,  -82.3217680
29.6415027,  -82.3217673
29.6415024,  -82.3217668
29.6415019,  -82.3217663
29.6415015,  -82.3217658
29.6415014,  -82.3217656
29.6415012,  -82.3217655
